"Enable log cleaning","Aktiver logrensning"
"Error Email Recipient","Fejlmail-modtager"
"Error Email Sender","Fejlmail-afsender"
"Error Email Template","Fejlmail-skabelon"
"Frequency","Frekvens"
"Log Cleaning","Logrensning"
"Log cleanup Warnings","Logrensningsadvarsler"
"Save log, days","Gem log, dage"
"Start Time","Starttid"
